,beta_acc,beta_inf_time,ee_prob,threshold,n_branches_edge,beta,calib_mode,overhead,mode,temp_branch_1,temp_branch_2,temp_branch_3
0,0.1573272341120732,17.441724613245004,1.0,0.8,3,0,beta_calib,10,theo,1e-05,0.09894386879876534,0.32603870601324225
0,0.1573272341120732,17.867498544508546,1.0,0.8,3,5,beta_calib,10,theo,0.0054812960146676595,0.5541085608051978,0.7068166552998688
0,0.1573272341120732,18.067891796579985,1.0,0.8,3,10,beta_calib,10,theo,0.0091546327660725,0.6520634395031203,0.665542846900133
0,0.9492537313432836,19.043995850290386,0.6567554321189348,0.8,3,15,beta_calib,10,theo,-0.019326835664614572,1.617138193620033,0.8970602860915213
0,0.9540933435348126,18.927526820304053,0.6405816043130208,0.8,3,20,beta_calib,10,theo,-0.017897596291931377,1.3242587408907958,0.9268839599145936
0,0.3290391841116479,21.803889164735207,0.9130860970429668,0.8,3,25,beta_calib,10,theo,0.05518064861039981,0.9590551471482013,0.8059315202563021
0,0.9451414514145141,21.172466142811864,0.6641071720307139,0.8,3,30,beta_calib,10,theo,-0.04371348399062343,1.1714765871274575,0.8855187397563314
0,0.9504628471353516,20.016799404441777,0.6529978761640255,0.8,3,35,beta_calib,10,theo,-0.03061349370515694,1.5841959080766068,0.9047539803337943
0,0.3297644539614561,21.761250181428554,0.9155366770135599,0.8,3,40,beta_calib,10,theo,0.055244735406714846,0.9103194315348357,0.7912447823890789
0,0.39002605135839225,23.001938635308914,0.8779611174644666,0.8,3,45,beta_calib,10,theo,0.06610128780392799,1.3101152283249125,0.849151066016896
0,0.36592127148401404,22.642904201675876,0.8840058813919294,0.8,3,50,beta_calib,10,theo,0.06218821094675123,1.3783909243337034,0.867133132950772
0,0.43716679360243715,23.64160481394451,0.8580297337036432,0.8,3,55,beta_calib,10,theo,0.0753326900005317,1.013255812536637,0.8324912616546629
0,0.38147391869315017,22.849373941250448,0.8800849534389805,0.8,3,60,beta_calib,10,theo,0.0645821355578167,1.2383074527932667,0.8551402665082487
0,0.3926512968299712,22.604626075638553,0.9070413331155041,0.8,3,65,beta_calib,10,theo,0.06559982327001623,0.8302133605960468,0.7024340943241991
0,0.43544400076060086,23.57866480956741,0.85917333768992,0.8,3,70,beta_calib,10,theo,0.07491880549838417,0.9682716071916021,0.8336114434505765
0,0.6388325901905147,28.227450612412074,0.8060774383270708,0.8,3,75,beta_calib,10,theo,0.13740881817193482,0.7973587576451083,0.7721802278790412
0,0.6290484811909073,27.844865473563964,0.8121222022545336,0.8,3,80,beta_calib,10,theo,0.13481486583852761,0.7321308474718655,0.7727764503017094
0,0.6298216507673164,28.002531214748654,0.7877797745466427,0.8,3,85,beta_calib,10,theo,0.1301388129426093,0.9529909685291843,0.8292039203131985
0,0.627708209103558,27.758241486656313,0.8219245221369057,0.8,3,90,beta_calib,10,theo,0.13474005964174326,0.7146806211353879,0.7422190095547656
0,0.8141338059370846,38.95184683690839,0.7374611991504656,0.8,3,95,beta_calib,10,theo,0.31694130062147363,0.7819848771461672,0.8193693677623581
0,0.6359223300970874,28.12596147100379,0.8077111583074661,0.8,3,100,beta_calib,10,theo,0.1360934364780689,0.7994281414083227,0.7726140515799849
